Mandante;N° ID;Item number;Description in operating language;Responsible operator;Product;Commentaires CODIF;Infos nécessaires;Dent client;Review date/Payment due date;Bon pour codif;Temps d'étude (nb jour);Inhouse contact
AE;2104191;10;ARDEN EQUIPMENT BELGIUM;;CODIF;;Non;Non;14/09/2017;14/09/2017;10;DDU
AE;2104241;10;BFH EQUIPEMENTS;;CODIF;C31W20 - 1800MM - EN ATTACHE QA31 SELON PLAN JOINT;Non;Non;09/11/2017;;0;JTA
AE;2104247;40;NORD COMPACT SERVICES;;CODIF;PLATINE QA05 POUR CISAILLE NPK X1;Oui;Non;10/11/2017;;10;PFR
AE;2104247;30;NORD COMPACT SERVICES;;CODIF;PLATINE QA05 - POUR BRH NPK GH07;Oui;Non;10/11/2017;;10;PFR
AE;2104247;20;NORD COMPACT SERVICES;;CODIF;R05S11 - 600mm X 65LT QA05 DENTS AE;Oui;Non;10/11/2017;;10;PFR
AE;2104268;20;MANU LORRAINE;;CODIF;R50S21 - 500mm X 380LT - QA51 - DENTS MTG MA40;Non;Non;04/12/2017;19/09/2017;10;PFR
AE;2104268;10;MANU LORRAINE;;CODIF;QA51H - CROCHETS A LINGUET SUR KOBELCO SK180LC-10;Non;Non;04/12/2017;19/09/2017;10;PFR
AE;2104314;70;LOCSAMAT SARL;;CODIF;R30W31-1200mm - AVEC DENTS - QA31 - P451 voir plan 28198 mais en 1200mm;Non;Non;10/11/2017;19/09/2017;10;PFR
AE;2104314;50;LOCSAMAT SARL;;CODIF;R30V31S 1200mm X 830LT  PROFIL 1/3 PAS DE 60mm QA31;Non;Non;10/11/2017;19/09/2017;10;PFR
AE;2104314;40;LOCSAMAT SARL;;CODIF;R30C31 - 1000mm X 660LT DENT AE QA31;Non;Non;10/11/2017;19/09/2017;10;PFR
AE;2104314;30;LOCSAMAT SARL;;CODIF;R30C31 - 500mm X 300LT DENT AE EN QA31;Non;Non;10/11/2017;19/09/2017;10;PFR
AE;2104480;10;TERAMAT SAS;;CODIF;C41R25 - 1800mm X 690LT CLF EN QA51;Non;Non;17/11/2017;22/09/2017;10;PFR
AE;2104495;20;KOMATSU FRANCE;;CODIF;AECW45 SMALL AVEC CROCHET CENTRAL POUR KOMATSU PC390HRD-11 SUR BRAS TERRASSEMENT;Non;Non;17/11/2017;22/09/2017;10;PFR
AE;2104495;10;KOMATSU FRANCE;;CODIF;AECW40 SMALL POUR KOMATSU PC390HRD-11 SUR BRAS DEMOL MERCI DE CREER PELLE;Non;Non;17/11/2017;22/09/2017;10;PFR
AE;2104511;20;SOMTP NORMANDIE;;CODIF;R60S31 - 1200 mm x 1360 lt - dents FEURST  ORCA - fourniture AE - QA61H;Non;Non;17/11/2017;22/09/2017;10;NGA
AE;2104521;10;ENTREPRISE PONCIN;;CODIF;r30s31-qa31- version trapeze 27 cm dent p301 avec clp sous dents -;Non;Non;24/11/2017;22/09/2017;10;JTA
AE;2104531;60;MATERIEL SERVICE;;CODIF;T41G63 - PB 350 mm - GB 1565 mm DENTS CAT J300 ADAPTABLES;Non;Non;10/11/2017;22/09/2017;10;VBE
AE;2104531;40;MATERIEL SERVICE;;CODIF;R40G31 - 1200mm x 950 LT - DENTS CAT J300 ADAPTABLES REPRIS PAR QA41H;Non;Non;10/11/2017;22/09/2017;10;VBE
AE;2104531;30;MATERIEL SERVICE;;CODIF;R40G31 - 500mm x 300 LT - DENTS CAT J300 ADAPTABLES REPRIS PAR QA41H;Non;Non;10/11/2017;22/09/2017;10;VBE
AE;2156504;20;RMTP 49;;CODIF;R30G31 - 400 mm - P301 - AXS - HYUNDAI HX140L;Non;Non;01/01/2018;25/09/2017;10;NGA
AE;2104616;10;EQUIPKO SAS;;CODIF;AECW40H POUR PELLE KOBELCO SK260LC-9 TROU DE MANUTENTION;Non;Non;13/11/2017;26/09/2017;10;JTA
AE;2104660;20;SITEC;;CODIF;C51R35 - 2000 mm x 1120 lt - CLBR - MONTAGE DIRECTE SUR KOBELCO SK260LC-8;Non;Non;16/11/2017;27/09/2017;10;NGA
AE;2104240;40;NORD COMPACT SERVICES;;CODIF;PLATINE QA10 POUR CISAILLE NPK S-4XB;Oui;Non;10/11/2017;;10;PFR
AE;2104750;20;LST Swiss AG;;CODIF;Speed Valve pour CD042BV - sans Logo AE;Non;Non;31/01/2018;28/09/2017;10;ARI
AE;2104750;10;LST Swiss AG;;CODIF;CD042BV - Sans Logo AE - Ne Pas Bloquer la Machine;Non;Non;31/01/2018;28/09/2017;10;ARI
